UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54978.75,69.249005,310.356951,405.9958,0.1278569,0.1054473,706.25,2177,0,39,2
54978.75,69.249082,310.358679,411.2609,0.1472705,0.0804412,631.37,3549,5,-29,3
54978.75,69.249049,310.357939,408.9565,0.1283577,0.0488887,702.44,2843,0,0,0
54979,69.248577,310.355359,391.2094,0.1828321,0.109478,336.52,3651,68,107,1
54979,69.248656,310.357109,400.5812,0.2374152,0.0948757,573.2,2262,0,38,2
54979,69.248736,310.35886,404.8675,0.1732831,0.080846,713.48,3516,1,-32,3
54979,69.2487,310.358065,403.1206,0.2384067,0.0081491,627.42,2770,23,0,0
54979.25,69.248226,310.355486,384.0073,0.2028476,0.0825935,385.68,3626,40,107,1
54979.25,69.248307,310.357236,392.5971,0.2495065,0.0614569,456.34,2178,29,38,2
54979.25,69.248387,310.358985,399.3725,0.1827204,0.1257846,622.56,3629,0,-32,3
54979.25,69.24835,310.358192,395.5893,0.2168576,0.0712387,613.39,2788,0,0,0
54979.5,69.247874,310.355567,375.099,0.2764497,0.1045178,452.49,3584,34,109,1
54979.5,69.247957,310.357371,383.3794,0.2259036,0.0489846,399.54,2254,20,38,2
54979.5,69.24804,310.359174,391.3103,0.2504661,0.1406017,631.36,3666,0,-34,3
54979.5,69.248001,310.35832,386.6035,0.2158151,0.0932215,579.1,2747,0,0,0
54979.75,69.247519,310.355579,363.4164,0.3188564,0.1208815,486.12,3526,10,114,1
54979.75,69.247605,310.357438,374.6049,0.2397968,0.0978855,491.59,2292,6,40,2
54979.75,69.247691,310.359297,382.9142,0.2408021,0.0992052,643.23,3741,0,-34,3
54979.75,69.247652,310.358448,379.0582,0.2070089,0.0809748,596.4,2703,0,0,0
54980,69.24717,310.355708,352.8931,0.307423,0.1147205,499.71,3523,17,114,1
54980,69.247256,310.357567,365.1891,0.2726333,0.136841,492.98,2185,6,40,2
54980,69.247343,310.359426,375.6551,0.2296204,0.107171,580.61,3725,4,-34,3
54980,69.247303,310.358577,371.1254,0.2555054,0.1088975,516.45,2606,3,0,0
54980.25,69.246821,310.355839,343.572,0.217244,0.1515026,464.04,3424,102,114,1
54980.25,69.246908,310.357701,357.2171,0.2375313,0.1705262,548.69,2119,3,40,2
54980.25,69.246995,310.359563,368.1261,0.1422113,0.1235985,412.47,3695,40,-34,3
54980.25,69.246955,310.358706,363.5781,0.1780482,0.1035287,523.4,2525,0,0,0
54980.5,69.246472,310.355971,337.56,0.1335128,0.1923347,482.73,3448,23,114,1
54980.5,69.24656,310.357846,351.4497,0.1525014,0.1672515,610.79,2133,3,39,2
54980.5,69.246648,310.359722,363.292,0.1402406,0.0918491,356.9,3619,53,-35,3
54980.5,69.246606,310.358836,358.2671,0.1440181,0.1345074,482.24,2499,1,0,0
